Date,Size,Type,Mode,UID,GID,Meta,File Name
Tue 04 02 2002 10:08:04,904,m...,r/rrwxrwxrwx,0,0,9,/cds[1].jpg (deleted)
Tue 12 16 2003 00:00:00,904,.a..,r/rrwxrwxrwx,0,0,9,/cds[1].jpg (deleted)
Tue 12 16 2003 20:58:18,904,...b,r/rrwxrwxrwx,0,0,9,/cds[1].jpg (deleted)
Tue 12 16 2003 20:50:02,0,m...,r/rrwxrwxrwx,0,0,3,/DATA DISK   (Volume Label Entry)
Tue 12 16 2003 00:00:00,19456,.a..,r/rrwxrwxrwx,0,0,11,/file1.doc
Tue 12 16 2003 21:02:26,19456,...b,r/rrwxrwxrwx,0,0,11,/file1.doc
Tue 12 16 2003 21:02:36,19456,m...,r/rrwxrwxrwx,0,0,11,/file1.doc
Tue 12 16 2003 00:00:00,12047,.a..,r/rrwxrwxrwx,0,0,36,/file12
Tue 12 16 2003 21:30:41,12047,...b,r/rrwxrwxrwx,0,0,36,/file12
Tue 12 16 2003 21:30:48,12047,m...,r/rrwxrwxrwx,0,0,36,/file12
Tue 12 16 2003 00:00:00,25,.a..,r/rrwxrwxrwx,0,0,12,/file2.jpg
Tue 12 16 2003 21:03:52,25,m...,r/rrwxrwxrwx,0,0,12,/file2.jpg
Tue 12 16 2003 21:04:28,25,...b,r/rrwxrwxrwx,0,0,12,/file2.jpg
Tue 04 02 2002 10:08:42,2057,m...,r/rrwxrwxrwx,0,0,13,/file3.xls
Tue 12 16 2003 00:00:00,2057,.a..,r/rrwxrwxrwx,0,0,13,/file3.xls
Tue 12 16 2003 20:57:24,2057,...b,r/rrwxrwxrwx,0,0,13,/file3.xls
Tue 12 16 2003 00:00:00,3276,.a..,r/rrwxrwxrwx,0,0,4,/file4
Tue 12 16 2003 20:56:08,3276,...b,r/rrwxrwxrwx,0,0,4,/file4
Tue 04 02 2002 10:08:04,904,m...,r/rrwxrwxrwx,0,0,14,/file5.csv
Tue 12 16 2003 00:00:00,904,.a..,r/rrwxrwxrwx,0,0,14,/file5.csv
Tue 12 16 2003 20:58:18,904,...b,r/rrwxrwxrwx,0,0,14,/file5.csv
Tue 12 16 2003 00:00:00,2053,.a..,r/rrwxrwxrwx,0,0,23,/file6
Tue 12 16 2003 21:09:36,2053,m...,r/rrwxrwxrwx,0,0,23,/file6
Tue 12 16 2003 21:10:39,2053,...b,r/rrwxrwxrwx,0,0,23,/file6
Tue 12 16 2003 00:00:00,4066,.a..,r/rrwxrwxrwx,0,0,24,/file7.zip
Tue 12 16 2003 21:09:46,4066,m...,r/rrwxrwxrwx,0,0,24,/file7.zip
Tue 12 16 2003 21:10:41,4066,...b,r/rrwxrwxrwx,0,0,24,/file7.zip
Tue 12 16 2003 00:00:00,512,.a..,d/drwxrwxrwx,0,0,27,/folder5
Tue 12 16 2003 21:26:46,512,...b,d/drwxrwxrwx,0,0,27,/folder5
Tue 12 16 2003 21:26:48,512,m...,d/drwxrwxrwx,0,0,27,/folder5
Tue 12 16 2003 00:00:00,0,.a..,d/drwxrwxrwx,0,0,16,/New Folder (deleted)
Tue 12 16 2003 00:00:00,0,.a..,d/drwxrwxrwx,0,0,26,/New Folder (deleted)
Tue 12 16 2003 21:06:34,0,...b,d/drwxrwxrwx,0,0,16,/New Folder (deleted)
Tue 12 16 2003 21:06:36,0,m...,d/drwxrwxrwx,0,0,16,/New Folder (deleted)
Tue 12 16 2003 21:26:46,0,...b,d/drwxrwxrwx,0,0,26,/New Folder (deleted)
